fid,left,top,right,bottom,terrainEle,terrainSlo,terrainAsp,surfaceEle,surfaceSlo,surfaceAsp,isOnsite,isZoned,zoneName,isForest,landCoverI,waterType,roadType,isRoad,isHedge,terSurfDif,hasSurfFea,isWater
80252,502150.4392,132726.4615,502152.7486,132724.4615,23.44161463,1.34587139,270.9204712,23.43400002,1.28454641,273.4715653,true,false,,false,4,,footpath,true,false,-0.008,false,false
80253,502150.4392,132724.4615,502152.7486,132722.4615,23.44411469,1.3552632,260.5920754,23.44150019,1.21306318,253.0386238,true,false,,false,4,,footpath,true,false,-0.003,false,false
80254,502150.4392,132722.4615,502152.7486,132720.4615,23.41161489,1.76611468,232.498497,23.41650009,1.73400804,235.815773,true,false,,false,4,,footpath,true,false,0.005,false,false
80255,502150.4392,132720.4615,502152.7486,132718.4615,23.39161491,1.72012824,238.1493111,23.39400005,1.75192991,238.4498749,true,false,,false,4,,footpath,true,false,0.002,false,false
80256,502150.4392,132718.4615,502152.7486,132716.4615,23.33661461,2.03007188,221.9765015,23.32899952,2.04332027,218.1100082,true,false,,false,4,,footpath,true,false,-0.008,false,false
80257,502150.4392,132716.4615,502152.7486,132714.4615,23.2991147,1.52883449,249.5537643,23.28900003,1.47045323,252.6933365,true,false,,false,4,,,false,false,-0.01,false,false
80258,502150.4392,132714.4615,502152.7486,132712.4615,23.29411459,1.48613277,270.622406,23.28150034,1.63954589,264.0189095,true,false,,false,4,,,false,false,-0.013,false,false
80259,502150.4392,132712.4615,502152.7486,132710.4615,23.30411434,1.29108927,293.341507,23.29899979,1.73061973,290.4990234,true,false,,false,4,,,false,false,-0.005,false,false
80260,502150.4392,132710.4615,502152.7486,132708.4615,23.32411432,0.71341039,250.5549896,23.33649969,0.85698308,192.3079987,true,false,,false,4,,,false,false,0.012,false,false
80261,502150.4392,132708.4615,502152.7486,132706.4615,23.3441143,0.76266152,101.2501102,23.34649992,1.17244294,100.0974422,true,false,,false,4,,,false,false,0.002,false,false
80262,502150.4392,132706.4615,502152.7486,132704.4615,23.36911488,0.65438259,64.73355961,23.39149952,1.15440191,147.8666554,true,false,,false,4,,,false,false,0.022,false,false
80263,502150.4392,132704.4615,502152.7486,132702.4615,23.36661482,0.63524196,69.94208813,23.37650013,0.77405184,108.3493538,true,false,,false,4,,,false,false,0.01,false,false
80264,502150.4392,132702.4615,502152.7486,132700.4615,23.38661528,0.62265588,30.42503476,23.37150002,0.8076517,96.43951368,true,false,,false,4,,,false,false,-0.015,false,false
80265,502150.4392,132700.4615,502152.7486,132698.4615,23.38925648,0.30216503,137.4540615,23.39649963,0.41843461,170.6749229,true,false,,false,4,,,false,false,0.007,false,false
80266,502150.4392,132698.4615,502152.7486,132696.4615,23.38425636,0.2797838,90,23.38899994,0.83045435,133.6283677,true,false,,false,4,,,false,false,0.005,false,false
