fid,left,top,right,bottom,terrainEle,terrainSlo,terrainAsp,surfaceEle,surfaceSlo,surfaceAsp,isOnsite,isZoned,zoneName,isForest,landCoverI,waterType,roadType,isRoad,isHedge,terSurfDif,hasSurfFea,isWater
36534,501968.5738,132591.4615,501970.8832,132589.4615,29.10093244,1.97089926,89.79463959,29.10400009,1.68839173,86.77291361,false,false,,false,4,,,false,false,0.003,false,false
36535,501968.5738,132589.4615,501970.8832,132587.4615,29.10426585,1.86108903,74.16250865,29.10399946,1.54956881,48.45512772,false,false,,false,4,,,false,false,0,false,false
36536,501968.5738,132587.4615,501970.8832,132585.4615,29.10759862,1.90626041,107.0399653,29.1206665,2.29792917,121.7929916,false,false,,false,4,,,false,false,0.013,false,false
36537,501968.5738,132585.4615,501970.8832,132583.4615,29.11093203,2.67717385,51.23016103,29.11399968,3.25527358,38.80071068,false,false,,false,4,,,false,false,0.003,false,false
36538,501968.5738,132583.4615,501970.8832,132581.4615,29.20759837,2.91617469,42.78740056,29.24733353,4.29908109,51.97821299,false,false,,false,4,,,false,false,0.04,false,false
36539,501968.5738,132581.4615,501970.8832,132579.4615,29.26093165,1.83250074,59.59399414,29.30733363,4.04938642,64.40170288,false,false,,true,4,,,false,true,0.046,false,false
36540,501968.5738,132579.4615,501970.8832,132577.4615,29.27426465,2.90197659,62.55195618,29.36399968,6.24179951,41.65174993,false,false,,true,4,,,false,true,0.09,false,false
36541,501968.5738,132577.4615,501970.8832,132575.4615,29.34093221,3.51442552,62.27011744,29.49066671,6.7918431,35.34622892,false,false,,true,4,,,false,false,0.15,false,false
36542,501968.5738,132575.4615,501970.8832,132573.4615,29.35426521,2.29863509,155.2178065,29.52400017,22.60377407,92.25411669,true,true,forestRegenerationZone,true,4,,,false,false,0.17,false,false
36543,501968.5738,132573.4615,501970.8832,132571.4615,29.39093208,2.45225656,122.1135915,31.18733406,47.24603271,104.3983027,true,true,forestRegenerationZone,true,4,,,false,false,1.796,true,false
36544,501968.5738,132571.4615,501970.8832,132569.4615,29.36759885,2.61133754,66.38238653,29.49399948,13.74951267,159.6116918,true,true,forestRegenerationZone,true,4,,,false,false,0.126,false,false
36545,501968.5738,132569.4615,501970.8832,132567.4615,29.44426537,2.26690912,29.27351634,29.62066714,8.13368718,312.842926,true,true,forestRegenerationZone,true,4,,,false,false,0.176,false,false
36546,501968.5738,132567.4615,501970.8832,132565.4615,29.51759847,2.16146588,83.04873403,29.61400032,4.99967813,208.79157,true,true,forestRegenerationZone,true,4,,,false,false,0.096,false,false
36547,501968.5738,132565.4615,501970.8832,132563.4615,29.43759855,2.16540273,120.177976,29.45400047,7.58589967,107.962834,true,true,forestRegenerationZone,true,4,,,false,false,0.016,false,false
36548,501968.5738,132563.4615,501970.8832,132561.4615,29.51426506,3.09529463,127.7583811,30.06733322,11.40041407,212.0910316,true,true,forestRegenerationZone,true,4,,,false,false,0.553,false,false
36549,501968.5738,132561.4615,501970.8832,132559.4615,29.62093163,2.41780559,236.6097202,29.97733307,6.16125186,152.2011363,true,true,forestRegenerationZone,true,4,,,false,false,0.356,false,false
36550,501968.5738,132559.4615,501970.8832,132557.4615,29.6709315,1.40463014,227.9158109,29.81733322,23.07979838,333.3030802,true,true,forestRegenerationZone,true,4,,,false,false,0.146,false,false
36551,501968.5738,132557.4615,501970.8832,132555.4615,29.68426514,1.23311935,192.4278793,31.75066694,28.08500449,265.9824956,true,true,forestRegenerationZone,true,4,,,false,false,2.066,true,false
36552,501968.5738,132555.4615,501970.8832,132553.4615,29.65759786,2.34237854,216.5347443,30.09733327,32.20792516,165.5972544,true,true,forestRegenerationZone,false,4,,,false,false,0.44,false,false
36553,501968.5738,132553.4615,501970.8832,132551.4615,29.69759878,1.83842119,230.1177686,29.70066706,19.7263363,157.9480464,true,true,forestRegenerationZone,false,4,,,false,false,0.003,false,false
36554,501968.5738,132551.4615,501970.8832,132549.4615,29.70093218,0.67067354,218.7103322,29.70400047,0.79218564,124.6144842,true,true,forestRegenerationZone,false,4,,,false,false,0.003,false,false
36555,501968.5738,132549.4615,501970.8832,132547.4615,29.70093218,0.85522047,29.09069093,29.71066666,0.99695603,52.87517675,true,true,forestRegenerationZone,false,4,,,false,false,0.01,false,false
36556,501968.5738,132547.4615,501970.8832,132545.4615,29.74093246,1.70024526,32.04812558,29.75066694,1.35235709,25.11533419,true,true,forestRegenerationZone,false,4,,,false,false,0.01,false,false
36557,501968.5738,132545.4615,501970.8832,132543.4615,29.76759847,1.48708435,58.50094859,29.77066676,1.55986943,50.26755524,true,true,forestRegenerationZone,false,4,,,false,false,0.003,false,false
36558,501968.5738,132543.4615,501970.8832,132541.4615,29.81759834,2.70849442,33.57740529,29.83399963,2.99785542,30.04094823,true,true,forestRegenerationZone,false,4,,,false,false,0.016,false,false
36857,501970.3059,132780.4615,501972.6153,132778.4615,27.80398321,2.64222062,18.35003901,27.82899952,2.86467344,102.1929799,false,false,,false,4,,,false,false,0.025,false,false
36858,501970.3059,132778.4615,501972.6153,132776.4615,27.88148308,2.92176026,19.90342307,27.91400003,3.41015613,107.5752473,false,false,,false,4,,,false,false,0.033,false,false
36859,501970.3059,132776.4615,501972.6153,132774.4615,27.98898315,3.88011312,34.34820366,28.0340004,4.03586733,20.50133419,false,false,,false,4,,,false,false,0.045,false,false
