fid,left,top,right,bottom,terrainEle,terrainSlo,terrainAsp,surfaceEle,surfaceSlo,surfaceAsp,isOnsite,isZoned,zoneName,isForest,landCoverI,waterType,roadType,isRoad,isHedge,terSurfDif,hasSurfFea,isWater
117850,502306.3237,132590.4615,502308.6331,132588.4615,21.70712566,7.74380505,122.4975462,23.94999981,52.8643446,241.1230906,true,true,emphemeralWetlandZone,false,4,river,,false,false,2.243,true,true
117851,502306.3237,132588.4615,502308.6331,132586.4615,21.73462582,8.45295614,94.1027813,24.78249979,47.07571983,169.7715797,true,true,emphemeralWetlandZone,false,4,river,,false,false,3.048,true,true
117852,502306.3237,132586.4615,502308.6331,132584.4615,21.72712612,16.45581031,79.44222641,22.30499983,29.54104805,158.3497086,true,true,emphemeralWetlandZone,false,4,,,false,false,0.578,false,false
117853,502306.3237,132584.4615,502308.6331,132582.4615,22.10462523,26.76164246,61.94988823,22.41750002,28.90254402,63.710989,true,true,emphemeralWetlandZone,false,4,,,false,false,0.313,false,false
117854,502306.3237,132582.4615,502308.6331,132580.4615,22.70212603,26.69205236,62.61791134,22.93499947,23.04880989,67.84385777,true,true,emphemeralWetlandZone,false,4,,,false,false,0.233,false,false
117855,502306.3237,132580.4615,502308.6331,132578.4615,23.03712559,17.81107759,69.12367249,23.0999999,15.25869232,81.11576271,true,true,emphemeralWetlandZone,false,4,,,false,false,0.063,false,false
117856,502306.3237,132578.4615,502308.6331,132576.4615,23.23962545,10.12068814,58.51659679,23.24000025,10.3938359,57.84622383,true,true,emphemeralWetlandZone,false,4,,,false,false,0,false,false
117857,502306.3237,132576.4615,502308.6331,132574.4615,23.31462574,4.20711879,53.88418388,23.32249975,3.82406856,67.06990337,true,true,emphemeralWetlandZone,false,4,,,false,false,0.008,false,false
117858,502306.3237,132574.4615,502308.6331,132572.4615,23.33962536,0.90194208,137.0323601,23.34249973,1.43404178,131.1860113,true,true,emphemeralWetlandZone,false,4,,,false,false,0.003,false,false
117859,502306.3237,132572.4615,502308.6331,132570.4615,23.32962513,0.57330032,220.6960678,23.32750034,0.81637103,199.8327065,true,true,emphemeralWetlandZone,false,4,,,false,false,-0.002,false,false
117860,502306.3237,132570.4615,502308.6331,132568.4615,23.30962658,0.87563615,230.5720367,23.31500053,0.84105624,213.7292938,true,true,emphemeralWetlandZone,false,4,,,false,false,0.005,false,false
117861,502306.3237,132568.4615,502308.6331,132566.4615,23.29212618,1.37454657,247.1640701,23.29500008,1.52926059,247.4439011,true,true,emphemeralWetlandZone,false,4,,,false,false,0.003,false,false
117862,502306.3237,132566.4615,502308.6331,132564.4615,23.27712584,1.07672992,251.3137779,23.2750001,1.11363812,261.4078331,true,true,emphemeralWetlandZone,false,4,,,false,false,-0.002,false,false
117863,502306.3237,132564.4615,502308.6331,132562.4615,23.27212572,0.51469935,265.2416725,23.26749992,0.81082988,269.7658234,true,true,emphemeralWetlandZone,false,4,,,false,false,-0.005,false,false
117864,502306.3237,132562.4615,502308.6331,132560.4615,23.25212526,0.93420883,223.1866989,23.25250006,1.26164579,213.4498596,true,true,emphemeralWetlandZone,false,4,,,false,false,0,false,false
117865,502306.3237,132560.4615,502308.6331,132558.4615,23.24712515,0.33381266,155.7187467,23.25249958,0.73414182,139.8691669,true,true,emphemeralWetlandZone,false,4,,,false,false,0.005,false,false
117866,502306.3237,132558.4615,502308.6331,132556.4615,23.24212503,0.48925191,125.8362885,23.24000072,0.61513138,128.9433155,true,true,emphemeralWetlandZone,false,4,,,false,false,-0.002,false,false
117867,502306.3237,132556.4615,502308.6331,132554.4615,23.2296257,0.52293262,146.8345909,23.24000025,0.85766226,134.3193398,true,true,emphemeralWetlandZone,false,4,,,false,false,0.01,false,false
117868,502306.3237,132554.4615,502308.6331,132552.4615,23.20462608,1.45791289,177.8264656,23.20749998,1.45148504,170.2114525,true,true,emphemeralWetlandZone,false,4,,,false,false,0.003,false,false
117869,502306.3237,132552.4615,502308.6331,132550.4615,23.15462542,1.20454746,169.8783531,23.15749979,1.61275291,162.076931,true,true,emphemeralWetlandZone,false,4,,,false,false,0.003,false,false
117870,502306.3237,132550.4615,502308.6331,132548.4615,23.11212587,0.96208513,211.4474335,23.10249949,0.93080644,189.4764328,true,true,emphemeralWetlandZone,false,4,,,false,false,-0.01,false,false
117871,502306.3237,132548.4615,502308.6331,132546.4615,23.10212564,0.7507285,259.3754082,23.10249949,0.90506767,262.5933647,true,true,emphemeralWetlandZone,false,4,,,false,false,0,false,false
117872,502306.3237,132546.4615,502308.6331,132544.4615,23.09962559,0.90545171,262.9705505,23.10249949,1.24444249,264.6218643,true,true,emphemeralWetlandZone,false,4,,,false,false,0.003,false,false
117873,502306.3237,132544.4615,502308.6331,132542.4615,23.09462547,1.29769322,272.9359856,23.10249996,1.68369806,269.531662,true,false,,false,4,,,false,false,0.008,false,false
117874,502306.3237,132542.4615,502308.6331,132540.4615,23.1221261,1.83628255,308.9359665,23.12750006,1.94654542,301.6499329,true,false,,false,4,,,false,false,0.005,false,false
117875,502306.3237,132540.4615,502308.6331,132538.4615,23.15212536,1.10097678,311.2202072,23.16500044,1.32353538,311.5823517,true,false,,false,4,,,false,false,0.013,false,false
117876,502306.3237,132538.4615,502308.6331,132536.4615,23.18212557,1.11276641,305.614769,23.19250011,1.32842366,230.0282741,true,false,,false,4,,,false,false,0.01,false,false
117877,502306.3237,132536.4615,502308.6331,132534.4615,23.1921258,0.59628652,285.4818687,23.18999958,1.47191611,301.036171,true,false,,false,4,,,false,false,-0.002,false,false
117878,502306.3237,132534.4615,502308.6331,132532.4615,23.20212603,0.89427996,245.6107025,23.24749994,1.50596622,253.163868,true,false,,false,4,,,false,false,0.045,false,false
117879,502306.3237,132532.4615,502308.6331,132530.4615,23.21712589,1.2263893,210.641304,23.23500013,2.37477168,221.2329102,true,false,,false,4,,,false,false,0.018,false,false
117880,502306.3237,132530.4615,502308.6331,132528.4615,23.21212578,1.55960417,274.4310532,23.3324995,4.28867631,268.1524506,true,false,,false,4,,,false,false,0.12,false,false
117881,502306.3237,132528.4615,502308.6331,132526.4615,23.21712542,1.46477436,271.4027939,23.3375001,5.9737916,282.0508575,true,false,,false,4,,,false,false,0.12,false,false
118248,502308.0558,132627.4615,502310.3652,132625.4615,23.21815109,2.53827516,277.3740336,23.20733325,2.75458972,280.9370422,false,false,,false,4,,,false,false,-0.011,false,false
118249,502308.0558,132625.4615,502310.3652,132623.4615,23.24413109,2.80525533,285.1105448,23.24400012,2.81521122,283.9993184,false,false,,false,4,,,false,false,0,false,false
118250,502308.0558,132623.4615,502310.3652,132621.4615,23.26077398,2.85265481,277.4953817,23.24733353,2.91034559,278.0739339,false,false,,false,4,,,false,false,-0.013,false,false
118251,502308.0558,132621.4615,502310.3652,132619.4615,23.26781782,3.34918491,273.4864299,23.26066717,3.2409656,276.5036011,false,false,,false,4,,footpath,true,false,-0.007,false,false
118252,502308.0558,132619.4615,502310.3652,132617.4615,23.27115122,3.19881328,269.8553772,23.26066717,3.77823194,258.8431803,false,false,,false,4,,footpath,true,false,-0.01,false,false
118253,502308.0558,132617.4615,502310.3652,132615.4615,23.27781804,3.02414417,284.1383464,23.27400017,3.53676478,290.507548,false,false,,false,4,,,false,false,-0.004,false,false
118254,502308.0558,132615.4615,502310.3652,132613.4615,23.30781746,2.87344607,277.5299174,23.30733299,2.83086483,275.519338,false,false,,false,4,,,false,false,0,false,false
118255,502308.0558,132613.4615,502310.3652,132611.4615,23.30448469,3.38775055,261.0493622,23.3106664,3.54081154,261.1528219,false,false,,false,4,,,false,false,0.006,false,false
118256,502308.0558,132611.4615,502310.3652,132609.4615,23.28448486,4.19771179,263.7692057,23.28399976,4.40267642,262.2639364,false,false,,false,4,,,false,false,0,false,false
118257,502308.0558,132609.4615,502310.3652,132607.4615,23.28448486,4.81310972,263.978007,23.28733381,6.07784335,307.7301636,false,false,,false,4,,,false,false,0.003,false,false
118258,502308.0558,132607.4615,502310.3652,132605.4615,23.2044843,5.43697453,234.339035,23.76066717,35.1648248,156.662831,false,false,,false,4,,,false,false,0.556,false,false
118259,502308.0558,132605.4615,502310.3652,132603.4615,23.08781815,4.62487141,204.8884939,23.9273332,38.31179937,146.4213181,false,false,,false,4,,,false,false,0.84,false,false
118260,502308.0558,132603.4615,502310.3652,132601.4615,22.91448466,4.12490511,191.8181966,22.92066638,12.21592903,100.858092,false,false,,false,4,,,false,false,0.006,false,false
118261,502308.0558,132601.4615,502310.3652,132599.4615,22.8045311,10.82552528,214.8098043,23.59433365,24.51556206,310.6781311,false,true,emphemeralWetlandZone,false,4,,,false,false,0.79,false,false
118262,502308.0558,132599.4615,502310.3652,132597.4615,22.25795873,18.69788742,218.0075582,22.70499992,22.1580801,199.1699575,false,true,emphemeralWetlandZone,false,4,,,false,false,0.447,false,false
118263,502308.0558,132597.4615,502310.3652,132595.4615,21.73795954,15.0449365,211.5326894,22.84166654,27.16110865,82.14510345,false,true,emphemeralWetlandZone,false,4,,,false,false,1.104,true,false
118264,502308.0558,132595.4615,502310.3652,132593.4615,21.45462608,6.94551484,257.5223185,22.44833374,27.23994191,181.7159678,false,true,emphemeralWetlandZone,false,4,,,false,false,0.994,false,false
118265,502308.0558,132593.4615,502310.3652,132591.4615,21.69795926,6.97804149,308.478363,22.44166629,26.22499402,266.3352661,false,true,emphemeralWetlandZone,false,4,,,false,false,0.744,false,false
118266,502308.0558,132591.4615,502310.3652,132589.4615,21.67795881,4.01835569,264.0675964,22.82500013,50.4723676,339.6101379,false,true,emphemeralWetlandZone,false,4,river,,false,false,1.147,true,true
118267,502308.0558,132589.4615,502310.3652,132587.4615,21.67795881,2.70072624,235.3797964,23.78833326,46.40299606,153.8733978,true,true,emphemeralWetlandZone,false,4,river,,false,false,2.11,true,true
118268,502308.0558,132587.4615,502310.3652,132585.4615,21.54129219,6.76602427,127.0765533,22.80833308,17.45662721,113.9119628,true,true,emphemeralWetlandZone,false,4,river,,false,false,1.267,true,true
118269,502308.0558,132585.4615,502310.3652,132583.4615,21.48129272,9.04227146,70.11469396,21.89166705,31.46837362,192.3403778,true,true,emphemeralWetlandZone,false,4,river,,false,false,0.41,false,true
